value,date
0.0,1948-01-01
,1949-01-01
,1950-01-01
,1951-01-01
0.0,1952-01-01
,1953-01-01
0.0,1954-01-01
,1955-01-01
0.0,1956-01-01
,1957-01-01
0.0,1958-01-01
,1959-01-01
0.0,1960-01-01
,1961-01-01
0.0,1962-01-01
,1963-01-01
0.0,1964-01-01
,1965-01-01
0.0,1966-01-01
,1967-01-01
0.0,1968-01-01
,1969-01-01
0.0,1970-01-01
,1971-01-01
0.210351201478743,1972-01-01
,1973-01-01
0.2641269841269841,1974-01-01
,1975-01-01
0.2629003558718861,1976-01-01
,1977-01-01
0.2690972222222222,1978-01-01
,1979-01-01
0.2744733581164807,1980-01-01
,1981-01-01
0.2672778561354019,1982-01-01
,1983-01-01
0.282233052724856,1984-01-01
,1985-01-01
0.2959558823529412,1986-01-01
,1987-01-01
0.3166666666666666,1988-01-01
,1989-01-01
0.2565656565656565,1990-01-01
,1991-01-01
0.3010060362173038,1992-01-01
,1993-01-01
0.3576601671309192,1994-01-01
,1995-01-01
0.3424737456242707,1996-01-01
,1997-01-01
0.3114754098360656,1998-01-01
,1999-01-01
0.1543995572772551,2000-01-01
,2001-01-01
0.3745863666446062,2002-01-01
,2003-01-01
0.3151815181518151,2004-01-01
,2005-01-01
,2006-01-01
,2007-01-01
0.268733850129199,2008-01-01
,2009-01-01
,2010-01-01
,2011-01-01
0.3378424078457896,2012-01-01
,2013-01-01
,2014-01-01
,2015-01-01
0.2838407494145199,2016-01-01
,2017-01-01
,2018-01-01
,2019-01-01
0.3310386473429951,2020-01-01
