value,date
0.0,1948-01-01
,1949-01-01
,1950-01-01
,1951-01-01
0.526592943654555,1952-01-01
,1953-01-01
0.5557506584723442,1954-01-01
,1955-01-01
0.4977298524404086,1956-01-01
,1957-01-01
0.5510344827586207,1958-01-01
,1959-01-01
0.5215918712955123,1960-01-01
,1961-01-01
0.5319969159599075,1962-01-01
,1963-01-01
0.6021642266072565,1964-01-01
,1965-01-01
0.5414407436096049,1966-01-01
,1967-01-01
0.5510597302504817,1968-01-01
,1969-01-01
0.5381552753815527,1970-01-01
,1971-01-01
0.510536044362292,1972-01-01
,1973-01-01
0.5092063492063492,1974-01-01
,1975-01-01
0.5040035587188612,1976-01-01
,1977-01-01
0.5269097222222222,1978-01-01
,1979-01-01
0.5210656753407683,1980-01-01
,1981-01-01
0.5458392101551481,1982-01-01
,1983-01-01
0.4718653079308817,1984-01-01
,1985-01-01
0.5,1986-01-01
,1987-01-01
0.4676470588235294,1988-01-01
,1989-01-01
0.5121212121212121,1990-01-01
,1991-01-01
0.4941649899396378,1992-01-01
,1993-01-01
0.4668523676880223,1994-01-01
,1995-01-01
0.5221703617269545,1996-01-01
,1997-01-01
0.5120999219359875,1998-01-01
,1999-01-01
0.4914222468179303,2000-01-01
,2001-01-01
0.4652547981469225,2002-01-01
,2003-01-01
0.4876237623762376,2004-01-01
,2005-01-01
,2006-01-01
,2007-01-01
0.5878552971576227,2008-01-01
,2009-01-01
,2010-01-01
,2011-01-01
0.5246871829556984,2012-01-01
,2013-01-01
,2014-01-01
,2015-01-01
0.4540983606557377,2016-01-01
,2017-01-01
,2018-01-01
,2019-01-01
0.4632850241545894,2020-01-01
