value,date
0.3202416918429003,1948-01-01
,1949-01-01
,1950-01-01
,1951-01-01
0.2727751448130595,1952-01-01
,1953-01-01
0.0,1954-01-01
,1955-01-01
0.2900113507377979,1956-01-01
,1957-01-01
0.0,1958-01-01
,1959-01-01
0.3776460626587637,1960-01-01
,1961-01-01
0.0,1962-01-01
,1963-01-01
0.4774029280712921,1964-01-01
,1965-01-01
0.0,1966-01-01
,1967-01-01
0.2703917790622993,1968-01-01
,1969-01-01
0.0,1970-01-01
,1971-01-01
0.2092421441774491,1972-01-01
,1973-01-01
0.0,1974-01-01
,1975-01-01
0.2980427046263345,1976-01-01
,1977-01-01
0.0,1978-01-01
,1979-01-01
0.2372986369268897,1980-01-01
,1981-01-01
0.0,1982-01-01
,1983-01-01
0.2547629596809924,1984-01-01
,1985-01-01
0.0,1986-01-01
,1987-01-01
0.2759803921568627,1988-01-01
,1989-01-01
0.0,1990-01-01
,1991-01-01
0.3191146881287726,1992-01-01
,1993-01-01
0.0,1994-01-01
,1995-01-01
0.3500583430571762,1996-01-01
,1997-01-01
0.0,1998-01-01
,1999-01-01
0.3265080243497509,2000-01-01
,2001-01-01
0.0,2002-01-01
,2003-01-01
0.3292079207920792,2004-01-01
,2005-01-01
,2006-01-01
,2007-01-01
0.4414298018949181,2008-01-01
,2009-01-01
,2010-01-01
,2011-01-01
0.4220493743659114,2012-01-01
,2013-01-01
,2014-01-01
,2015-01-01
0.3194379391100702,2016-01-01
,2017-01-01
,2018-01-01
,2019-01-01
0.4271739130434782,2020-01-01
