id,year,value,unit,source,vintage,indicator
ba_plus_25plus_pct,1940,4.6,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1947,5.4,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1950,6.2,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1952,7.0,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1957,7.6,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1959,8.1,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1962,8.9,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1964,9.1,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1965,9.4,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1966,9.8,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1967,10.1,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1968,10.5,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1969,10.7,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1970,11.0,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1971,11.4,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1972,12.0,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1973,12.6,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
ba_plus_25plus_pct,1974,13.3,percent,US Census CPS Historical Tables (Table A-2),2025-08-24,ba_plus_25plus_pct
