id,year,value,unit,source,vintage,indicator
house_polarization_dw,1788,0.5579999999999999,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1790,0.555,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1792,0.6614999999999999,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1794,0.701,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1796,0.73,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1798,0.692,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1800,0.674,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1802,0.713,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1804,0.711,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1806,0.698,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1808,0.694,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1810,0.693,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1812,0.6645,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1814,0.643,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1816,0.4514999999999999,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1818,0.286,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1820,0.254,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1822,0.594,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1824,0.416,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1826,0.5025000000000001,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1828,0.5565,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1830,0.6065,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1832,0.6915,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1834,0.8145,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
