Entity,Code,Year,public_trust_government
United States,USA,1958,73
United States,USA,1964,77
United States,USA,1966,65
United States,USA,1968,62
United States,USA,1970,54
United States,USA,1972,53
United States,USA,1974,36
United States,USA,1976,35
United States,USA,1977,33
United States,USA,1978,31
United States,USA,1979,28
United States,USA,1980,30
United States,USA,1982,39
United States,USA,1984,42
United States,USA,1985,42
United States,USA,1986,44
United States,USA,1987,43
United States,USA,1988,41
United States,USA,1989,40
United States,USA,1990,34
United States,USA,1991,41
United States,USA,1992,26
United States,USA,1993,25
United States,USA,1994,21
United States,USA,1995,22
United States,USA,1996,29
United States,USA,1997,29
United States,USA,1998,31
United States,USA,1999,34
United States,USA,2000,38
United States,USA,2001,49
United States,USA,2002,44
United States,USA,2003,40
United States,USA,2004,39
United States,USA,2005,32
United States,USA,2006,31
United States,USA,2007,26
United States,USA,2008,24
United States,USA,2009,22
United States,USA,2010,22
United States,USA,2011,19
United States,USA,2012,19
United States,USA,2013,21
United States,USA,2014,18
United States,USA,2015,18
United States,USA,2017,18
United States,USA,2019,17
United States,USA,2020,22
United States,USA,2021,21
United States,USA,2022,20
