id,year,value,unit,source,vintage,indicator
union_membership_rate_pct,1977,26.5,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1978,25.8,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1979,27.0,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1980,25.7,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1981,24.0,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1983,23.3,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1984,21.6,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1985,20.5,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1986,19.9,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1987,19.2,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1988,19.0,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1989,18.6,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1990,18.2,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1991,18.1,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1992,17.7,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1993,17.6,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1994,17.4,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1995,16.7,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1996,16.2,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1997,15.6,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1998,15.4,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,1999,15.3,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2000,14.9,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2001,14.8,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2002,14.6,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2003,14.3,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2004,13.8,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2005,13.7,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2006,13.1,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2007,13.3,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2008,13.7,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2009,13.6,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2010,13.1,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2011,13.0,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2012,12.5,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2013,12.4,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2014,12.3,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2015,12.3,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2016,11.9,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2017,11.9,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2018,11.7,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2019,11.6,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2020,12.1,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2021,11.6,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2022,11.3,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2023,11.2,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
union_membership_rate_pct,2024,11.1,percent,UnionStats (Hirsch & Macpherson),2025-08-22,union_membership_rate_pct
