id,year,value,unit,source,vintage,indicator
homicide_rate_per100k,1960,5.080213419,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1961,4.776165078,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1962,4.591674696,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1963,4.583967785,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1964,4.896908565,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1965,5.14659529,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1966,5.644864401,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1967,6.19881797,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1968,6.920796995,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1969,7.329244979,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1970,7.872648185,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1971,8.622194635,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1972,8.966047159,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1973,9.359021401,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1974,9.79696488,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1975,9.623505565,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1976,8.748759661,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1977,8.838267108,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1978,8.97004939,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1979,9.750157883,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1980,10.22412924,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1981,9.814102337,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1982,9.069151212,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1983,8.258623261,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1984,7.926219768,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1985,7.975662964,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1986,8.583997077,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1987,8.294229949,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1988,8.456067928,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1989,8.710828569,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1990,9.395328703,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1991,9.796826128,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1992,9.31656199,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1993,9.514218275,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1994,8.960268477,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1995,8.221358702,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1996,7.4068189,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1997,6.799520032,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1998,6.280897476,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,1999,5.69216096,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2000,5.538303759,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2001,5.620754662,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2002,5.635579699,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2003,6.091954742,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2004,5.765260836,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2005,5.9,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2006,5.7,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2007,5.7,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2008,5.4,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2009,5.0,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2010,4.8,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2011,4.7,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2012,4.8,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2013,4.5,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2014,4.4,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
homicide_rate_per100k,2015,4.9,per100k,FBI UCR,2025-08-22,homicide_rate_per100k
