value,date
0.5579999999999999,1788-01-01
,1789-01-01
0.555,1790-01-01
,1791-01-01
0.6614999999999999,1792-01-01
,1793-01-01
0.701,1794-01-01
,1795-01-01
0.73,1796-01-01
,1797-01-01
0.692,1798-01-01
,1799-01-01
0.674,1800-01-01
,1801-01-01
0.713,1802-01-01
,1803-01-01
0.711,1804-01-01
,1805-01-01
0.698,1806-01-01
,1807-01-01
0.694,1808-01-01
,1809-01-01
0.693,1810-01-01
,1811-01-01
0.6645,1812-01-01
,1813-01-01
0.643,1814-01-01
,1815-01-01
0.4514999999999999,1816-01-01
,1817-01-01
0.286,1818-01-01
,1819-01-01
0.254,1820-01-01
,1821-01-01
0.594,1822-01-01
,1823-01-01
0.416,1824-01-01
,1825-01-01
0.5025000000000001,1826-01-01
,1827-01-01
0.5565,1828-01-01
,1829-01-01
0.6065,1830-01-01
,1831-01-01
0.6915,1832-01-01
,1833-01-01
0.8145,1834-01-01
,1835-01-01
0.9075,1836-01-01
,1837-01-01
0.734,1838-01-01
,1839-01-01
0.7549999999999999,1840-01-01
,1841-01-01
0.5325,1842-01-01
,1843-01-01
0.522,1844-01-01
,1845-01-01
0.8895000000000001,1846-01-01
,1847-01-01
0.7989999999999999,1848-01-01
,1849-01-01
0.8985000000000001,1850-01-01
,1851-01-01
0.604,1852-01-01
,1853-01-01
0.981,1854-01-01
,1855-01-01
0.6635,1856-01-01
,1857-01-01
0.73,1858-01-01
,1859-01-01
0.6505000000000001,1860-01-01
,1861-01-01
0.6525,1862-01-01
,1863-01-01
0.709,1864-01-01
,1865-01-01
0.667,1866-01-01
,1867-01-01
0.6975,1868-01-01
,1869-01-01
0.8160000000000001,1870-01-01
,1871-01-01
0.8805000000000001,1872-01-01
,1873-01-01
0.7275,1874-01-01
,1875-01-01
0.7555000000000001,1876-01-01
,1877-01-01
0.794,1878-01-01
,1879-01-01
0.787,1880-01-01
,1881-01-01
0.722,1882-01-01
,1883-01-01
0.748,1884-01-01
,1885-01-01
0.777,1886-01-01
,1887-01-01
0.7889999999999999,1888-01-01
,1889-01-01
0.746,1890-01-01
,1891-01-01
0.778,1892-01-01
,1893-01-01
0.852,1894-01-01
,1895-01-01
0.839,1896-01-01
,1897-01-01
0.802,1898-01-01
,1899-01-01
0.808,1900-01-01
,1901-01-01
0.948,1902-01-01
,1903-01-01
0.839,1904-01-01
,1905-01-01
0.9175,1906-01-01
,1907-01-01
0.7969999999999999,1908-01-01
,1909-01-01
0.734,1910-01-01
,1911-01-01
0.7045,1912-01-01
,1913-01-01
0.7284999999999999,1914-01-01
,1915-01-01
0.712,1916-01-01
,1917-01-01
0.729,1918-01-01
,1919-01-01
0.764,1920-01-01
,1921-01-01
0.692,1922-01-01
,1923-01-01
0.666,1924-01-01
,1925-01-01
0.6555,1926-01-01
,1927-01-01
0.641,1928-01-01
,1929-01-01
0.6265000000000001,1930-01-01
,1931-01-01
0.5894999999999999,1932-01-01
,1933-01-01
0.5609999999999999,1934-01-01
,1935-01-01
0.5980000000000001,1936-01-01
,1937-01-01
0.7175,1938-01-01
,1939-01-01
0.731,1940-01-01
,1941-01-01
0.7175,1942-01-01
,1943-01-01
0.712,1944-01-01
,1945-01-01
0.9855,1946-01-01
,1947-01-01
0.8905000000000001,1948-01-01
,1949-01-01
0.5565,1950-01-01
,1951-01-01
0.5455000000000001,1952-01-01
,1953-01-01
0.573,1954-01-01
,1955-01-01
0.5705,1956-01-01
,1957-01-01
0.5680000000000001,1958-01-01
,1959-01-01
0.5485,1960-01-01
,1961-01-01
0.5775,1962-01-01
,1963-01-01
0.5700000000000001,1964-01-01
,1965-01-01
0.5835,1966-01-01
,1967-01-01
0.5885,1968-01-01
,1969-01-01
0.59,1970-01-01
,1971-01-01
0.6679999999999999,1972-01-01
,1973-01-01
0.5885,1974-01-01
,1975-01-01
0.5855,1976-01-01
,1977-01-01
0.6020000000000001,1978-01-01
,1979-01-01
0.813,1980-01-01
,1981-01-01
0.645,1982-01-01
,1983-01-01
0.6639999999999999,1984-01-01
,1985-01-01
0.6659999999999999,1986-01-01
,1987-01-01
0.6639999999999999,1988-01-01
,1989-01-01
0.8935,1990-01-01
,1991-01-01
0.921,1992-01-01
,1993-01-01
0.9285,1994-01-01
,1995-01-01
0.934,1996-01-01
,1997-01-01
0.775,1998-01-01
,1999-01-01
0.787,2000-01-01
,2001-01-01
0.947,2002-01-01
,2003-01-01
0.953,2004-01-01
,2005-01-01
0.8049999999999999,2006-01-01
,2007-01-01
0.7969999999999999,2008-01-01
,2009-01-01
0.865,2010-01-01
,2011-01-01
0.884,2012-01-01
,2013-01-01
0.8865000000000001,2014-01-01
,2015-01-01
0.89,2016-01-01
,2017-01-01
0.8845000000000001,2018-01-01
,2019-01-01
0.882,2020-01-01
,2021-01-01
0.8885000000000001,2022-01-01
,2023-01-01
0.915,2024-01-01
