Thermometer pair chosen per year (Dem/Rep):
1948: None
1952: None
1954: None
1956: None
1958: None
1960: None
1962: None
1964: ('VCF0201', 'VCF0202')
1966: ('VCF0201', 'VCF0202')
1968: ('VCF0201', 'VCF0202')
1970: ('VCF0201', 'VCF0202')
1972: ('VCF0201', 'VCF0202')
1974: ('VCF0201', 'VCF0202')
1976: ('VCF0201', 'VCF0202')
1978: ('VCF0218', 'VCF0224')
1980: ('VCF0201', 'VCF0202')
1982: ('VCF0201', 'VCF0202')
1984: ('VCF0218', 'VCF0222')
1986: ('VCF0218', 'VCF0222')
1988: ('VCF0218', 'VCF0224')
1990: ('VCF0218', 'VCF0222')
1992: ('VCF0218', 'VCF0224')
1994: ('VCF0218', 'VCF0222')
1996: ('VCF0218', 'VCF0222')
1998: ('VCF0218', 'VCF0224')
2000: ('VCF0218', 'VCF0222')
2002: None
2004: ('VCF0218', 'VCF0224')
2008: ('VCF0218', 'VCF0224')
2012: ('VCF0218', 'VCF0224')
2016: ('VCF0218', 'VCF0224')
2020: ('VCF0218', 'VCF0224')
