value,date
7.1,1980-01-01
7.6,1981-01-01
9.7,1982-01-01
9.6,1983-01-01
7.5,1984-01-01
7.2,1985-01-01
7.0,1986-01-01
6.2,1987-01-01
5.5,1988-01-01
5.3,1989-01-01
5.6,1990-01-01
6.8,1991-01-01
7.5,1992-01-01
6.9,1993-01-01
6.1,1994-01-01
5.6,1995-01-01
5.4,1996-01-01
4.9,1997-01-01
4.5,1998-01-01
4.2,1999-01-01
4.0,2000-01-01
4.7,2001-01-01
5.8,2002-01-01
6.0,2003-01-01
5.5,2004-01-01
5.1,2005-01-01
4.6,2006-01-01
4.6,2007-01-01
5.8,2008-01-01
9.3,2009-01-01
9.6,2010-01-01
8.9,2011-01-01
8.1,2012-01-01
7.4,2013-01-01
6.2,2014-01-01
5.3,2015-01-01
