value,date
26.5,1977-01-01
25.8,1978-01-01
27.0,1979-01-01
25.7,1980-01-01
24.0,1981-01-01
,1982-01-01
23.3,1983-01-01
21.6,1984-01-01
20.5,1985-01-01
19.9,1986-01-01
19.2,1987-01-01
19.0,1988-01-01
18.6,1989-01-01
18.2,1990-01-01
18.1,1991-01-01
17.7,1992-01-01
17.6,1993-01-01
17.4,1994-01-01
16.7,1995-01-01
16.2,1996-01-01
15.6,1997-01-01
15.4,1998-01-01
15.3,1999-01-01
14.9,2000-01-01
14.8,2001-01-01
14.6,2002-01-01
14.3,2003-01-01
13.8,2004-01-01
13.7,2005-01-01
13.1,2006-01-01
13.3,2007-01-01
13.7,2008-01-01
13.6,2009-01-01
13.1,2010-01-01
13.0,2011-01-01
12.5,2012-01-01
12.4,2013-01-01
12.3,2014-01-01
12.3,2015-01-01
11.9,2016-01-01
11.9,2017-01-01
11.7,2018-01-01
11.6,2019-01-01
12.1,2020-01-01
11.6,2021-01-01
11.3,2022-01-01
11.2,2023-01-01
11.1,2024-01-01
