value,date
11.6,1789-01-01
21.6,1790-01-01
,1791-01-01
6.3,1792-01-01
,1793-01-01
25.0,1794-01-01
,1795-01-01
20.1,1796-01-01
,1797-01-01
36.0,1798-01-01
,1799-01-01
32.3,1800-01-01
,1801-01-01
42.0,1802-01-01
,1803-01-01
23.8,1804-01-01
,1805-01-01
45.8,1806-01-01
,1807-01-01
36.8,1808-01-01
,1809-01-01
49.8,1810-01-01
,1811-01-01
40.4,1812-01-01
,1813-01-01
52.8,1814-01-01
,1815-01-01
16.9,1816-01-01
,1817-01-01
41.1,1818-01-01
,1819-01-01
10.1,1820-01-01
,1821-01-01
44.7,1822-01-01
,1823-01-01
26.9,1824-01-01
,1825-01-01
50.1,1826-01-01
,1827-01-01
57.3,1828-01-01
,1829-01-01
55.7,1830-01-01
,1831-01-01
57.0,1832-01-01
,1833-01-01
63.0,1834-01-01
,1835-01-01
56.5,1836-01-01
,1837-01-01
70.8,1838-01-01
,1839-01-01
80.3,1840-01-01
,1841-01-01
61.8,1842-01-01
,1843-01-01
79.2,1844-01-01
,1845-01-01
60.3,1846-01-01
,1847-01-01
72.8,1848-01-01
,1849-01-01
60.5,1850-01-01
,1851-01-01
69.5,1852-01-01
,1853-01-01
66.1,1854-01-01
,1855-01-01
79.4,1856-01-01
,1857-01-01
69.1,1858-01-01
,1859-01-01
81.8,1860-01-01
,1861-01-01
65.1,1862-01-01
,1863-01-01
76.3,1864-01-01
,1865-01-01
71.4,1866-01-01
,1867-01-01
80.9,1868-01-01
,1869-01-01
67.0,1870-01-01
,1871-01-01
72.1,1872-01-01
,1873-01-01
65.0,1874-01-01
,1875-01-01
82.6,1876-01-01
,1877-01-01
65.2,1878-01-01
,1879-01-01
80.5,1880-01-01
,1881-01-01
65.7,1882-01-01
,1883-01-01
78.2,1884-01-01
,1885-01-01
63.9,1886-01-01
,1887-01-01
80.5,1888-01-01
,1889-01-01
64.6,1890-01-01
,1891-01-01
75.8,1892-01-01
,1893-01-01
67.4,1894-01-01
,1895-01-01
79.6,1896-01-01
,1897-01-01
60.1,1898-01-01
,1899-01-01
73.7,1900-01-01
,1901-01-01
55.6,1902-01-01
,1903-01-01
65.5,1904-01-01
,1905-01-01
51.3,1906-01-01
,1907-01-01
65.7,1908-01-01
,1909-01-01
52.0,1910-01-01
,1911-01-01
59.0,1912-01-01
,1913-01-01
50.4,1914-01-01
,1915-01-01
61.8,1916-01-01
,1917-01-01
39.9,1918-01-01
,1919-01-01
49.2,1920-01-01
,1921-01-01
35.7,1922-01-01
,1923-01-01
48.9,1924-01-01
,1925-01-01
32.9,1926-01-01
,1927-01-01
56.9,1928-01-01
,1929-01-01
36.7,1930-01-01
,1931-01-01
56.9,1932-01-01
,1933-01-01
44.5,1934-01-01
,1935-01-01
61.0,1936-01-01
,1937-01-01
46.6,1938-01-01
,1939-01-01
62.4,1940-01-01
,1941-01-01
33.9,1942-01-01
,1943-01-01
55.9,1944-01-01
,1945-01-01
38.8,1946-01-01
,1947-01-01
52.2,1948-01-01
,1949-01-01
43.6,1950-01-01
,1951-01-01
62.3,1952-01-01
,1953-01-01
43.5,1954-01-01
,1955-01-01
60.2,1956-01-01
,1957-01-01
45.0,1958-01-01
,1959-01-01
63.8,1960-01-01
,1961-01-01
47.7,1962-01-01
,1963-01-01
62.8,1964-01-01
,1965-01-01
48.7,1966-01-01
,1967-01-01
62.5,1968-01-01
,1969-01-01
47.3,1970-01-01
,1971-01-01
56.2,1972-01-01
,1973-01-01
39.1,1974-01-01
,1975-01-01
54.8,1976-01-01
,1977-01-01
39.0,1978-01-01
,1979-01-01
54.2,1980-01-01
,1981-01-01
42.0,1982-01-01
,1983-01-01
55.2,1984-01-01
,1985-01-01
38.1,1986-01-01
,1987-01-01
52.8,1988-01-01
,1989-01-01
38.4,1990-01-01
,1991-01-01
58.1,1992-01-01
,1993-01-01
41.1,1994-01-01
,1995-01-01
51.7,1996-01-01
,1997-01-01
38.1,1998-01-01
,1999-01-01
54.2,2000-01-01
,2001-01-01
39.5,2002-01-01
,2003-01-01
60.1,2004-01-01
,2005-01-01
40.4,2006-01-01
,2007-01-01
61.6,2008-01-01
,2009-01-01
41.0,2010-01-01
,2011-01-01
58.6,2012-01-01
,2013-01-01
36.7,2014-01-01
,2015-01-01
60.1,2016-01-01
,2017-01-01
50.0,2018-01-01
,2019-01-01
,2020-01-01
,2021-01-01
46.0,2022-01-01
