date,value
1940-01-01,4.6
1941-01-01,
1942-01-01,
1943-01-01,
1944-01-01,
1945-01-01,
1946-01-01,
1947-01-01,5.4
1948-01-01,
1949-01-01,
1950-01-01,6.2
1951-01-01,
1952-01-01,7.0
1953-01-01,
1954-01-01,
1955-01-01,
1956-01-01,
1957-01-01,7.6
1958-01-01,
1959-01-01,8.1
1960-01-01,
1961-01-01,
1962-01-01,8.9
1963-01-01,
1964-01-01,9.1
1965-01-01,9.4
1966-01-01,9.8
1967-01-01,10.1
1968-01-01,10.5
1969-01-01,10.7
1970-01-01,11.0
1971-01-01,11.4
1972-01-01,12.0
1973-01-01,12.6
1974-01-01,13.3
1975-01-01,13.9
1976-01-01,14.7
1977-01-01,15.4
1978-01-01,15.7
1979-01-01,16.4
1980-01-01,17.0
1981-01-01,17.1
1982-01-01,17.7
1983-01-01,18.8
1984-01-01,19.1
1985-01-01,19.4
1986-01-01,19.4
1987-01-01,19.9
1988-01-01,20.3
1989-01-01,21.1
1990-01-01,21.3
1991-01-01,21.4
1992-01-01,21.4
1993-01-01,21.9
1994-01-01,22.2
1995-01-01,23.0
1996-01-01,23.6
1997-01-01,23.9
1998-01-01,24.4
1999-01-01,25.2
2000-01-01,25.6
2001-01-01,26.2
2002-01-01,26.7
2003-01-01,27.2
2004-01-01,27.7
2005-01-01,27.7
2006-01-01,28.0
2007-01-01,28.7
2008-01-01,29.4
2009-01-01,29.5
2010-01-01,29.9
2011-01-01,30.4
2012-01-01,30.9
2013-01-01,31.7
2014-01-01,32.0
2015-01-01,32.5
2016-01-01,33.4
2017-01-01,34.2
2018-01-01,35.0
2019-01-01,36.0
2020-01-01,37.5
2021-01-01,37.9
2022-01-01,37.7
