date,value
1788-01-01,0.5579999999999999
1789-01-01,
1790-01-01,0.555
1791-01-01,
1792-01-01,0.6614999999999999
1793-01-01,
1794-01-01,0.701
1795-01-01,
1796-01-01,0.73
1797-01-01,
1798-01-01,0.692
1799-01-01,
1800-01-01,0.674
1801-01-01,
1802-01-01,0.713
1803-01-01,
1804-01-01,0.711
1805-01-01,
1806-01-01,0.698
1807-01-01,
1808-01-01,0.694
1809-01-01,
1810-01-01,0.693
1811-01-01,
1812-01-01,0.6645
1813-01-01,
1814-01-01,0.643
1815-01-01,
1816-01-01,0.4514999999999999
1817-01-01,
1818-01-01,0.286
1819-01-01,
1820-01-01,0.254
1821-01-01,
1822-01-01,0.594
1823-01-01,
1824-01-01,0.416
1825-01-01,
1826-01-01,0.5025000000000001
1827-01-01,
1828-01-01,0.5565
1829-01-01,
1830-01-01,0.6065
1831-01-01,
1832-01-01,0.6915
1833-01-01,
1834-01-01,0.8145
1835-01-01,
1836-01-01,0.9075
1837-01-01,
1838-01-01,0.734
1839-01-01,
1840-01-01,0.7549999999999999
1841-01-01,
1842-01-01,0.5325
1843-01-01,
1844-01-01,0.522
1845-01-01,
1846-01-01,0.8895000000000001
1847-01-01,
1848-01-01,0.7989999999999999
1849-01-01,
1850-01-01,0.8985000000000001
1851-01-01,
1852-01-01,0.604
1853-01-01,
1854-01-01,0.981
1855-01-01,
1856-01-01,0.6635
1857-01-01,
1858-01-01,0.73
1859-01-01,
1860-01-01,0.6505000000000001
1861-01-01,
1862-01-01,0.6525
1863-01-01,
1864-01-01,0.709
1865-01-01,
1866-01-01,0.667
1867-01-01,
1868-01-01,0.6975
1869-01-01,
1870-01-01,0.8160000000000001
1871-01-01,
1872-01-01,0.8805000000000001
1873-01-01,
1874-01-01,0.7275
1875-01-01,
1876-01-01,0.7555000000000001
1877-01-01,
1878-01-01,0.794
1879-01-01,
1880-01-01,0.787
1881-01-01,
1882-01-01,0.722
1883-01-01,
1884-01-01,0.748
1885-01-01,
1886-01-01,0.777
1887-01-01,
1888-01-01,0.7889999999999999
1889-01-01,
1890-01-01,0.746
1891-01-01,
1892-01-01,0.778
1893-01-01,
1894-01-01,0.852
1895-01-01,
1896-01-01,0.839
1897-01-01,
1898-01-01,0.802
1899-01-01,
1900-01-01,0.808
1901-01-01,
1902-01-01,0.948
1903-01-01,
1904-01-01,0.839
1905-01-01,
1906-01-01,0.9175
1907-01-01,
1908-01-01,0.7969999999999999
1909-01-01,
1910-01-01,0.734
1911-01-01,
1912-01-01,0.7045
1913-01-01,
1914-01-01,0.7284999999999999
1915-01-01,
1916-01-01,0.712
1917-01-01,
1918-01-01,0.729
1919-01-01,
1920-01-01,0.764
1921-01-01,
1922-01-01,0.692
1923-01-01,
1924-01-01,0.666
1925-01-01,
1926-01-01,0.6555
1927-01-01,
1928-01-01,0.641
1929-01-01,
1930-01-01,0.6265000000000001
1931-01-01,
1932-01-01,0.5894999999999999
1933-01-01,
1934-01-01,0.5609999999999999
1935-01-01,
1936-01-01,0.5980000000000001
1937-01-01,
1938-01-01,0.7175
1939-01-01,
1940-01-01,0.731
1941-01-01,
1942-01-01,0.7175
1943-01-01,
1944-01-01,0.712
1945-01-01,
1946-01-01,0.9855
1947-01-01,
1948-01-01,0.8905000000000001
1949-01-01,
1950-01-01,0.5565
1951-01-01,
1952-01-01,0.5455000000000001
1953-01-01,
1954-01-01,0.573
1955-01-01,
1956-01-01,0.5705
1957-01-01,
1958-01-01,0.5680000000000001
1959-01-01,
1960-01-01,0.5485
1961-01-01,
1962-01-01,0.5775
1963-01-01,
1964-01-01,0.5700000000000001
1965-01-01,
1966-01-01,0.5835
1967-01-01,
1968-01-01,0.5885
1969-01-01,
1970-01-01,0.59
1971-01-01,
1972-01-01,0.6679999999999999
1973-01-01,
1974-01-01,0.5885
1975-01-01,
1976-01-01,0.5855
1977-01-01,
1978-01-01,0.6020000000000001
1979-01-01,
1980-01-01,0.813
1981-01-01,
1982-01-01,0.645
1983-01-01,
1984-01-01,0.6639999999999999
1985-01-01,
1986-01-01,0.6659999999999999
1987-01-01,
1988-01-01,0.6639999999999999
1989-01-01,
1990-01-01,0.8935
1991-01-01,
1992-01-01,0.921
1993-01-01,
1994-01-01,0.9285
1995-01-01,
1996-01-01,0.934
1997-01-01,
1998-01-01,0.775
1999-01-01,
2000-01-01,0.787
2001-01-01,
2002-01-01,0.947
2003-01-01,
2004-01-01,0.953
2005-01-01,
2006-01-01,0.8049999999999999
2007-01-01,
2008-01-01,0.7969999999999999
2009-01-01,
2010-01-01,0.865
2011-01-01,
2012-01-01,0.884
2013-01-01,
2014-01-01,0.8865000000000001
2015-01-01,
2016-01-01,0.89
2017-01-01,
2018-01-01,0.8845000000000001
2019-01-01,
2020-01-01,0.882
2021-01-01,
2022-01-01,0.8885000000000001
2023-01-01,
2024-01-01,0.915
