date,value
1950-01-01,5.0819635
1951-01-01,10.167022
1952-01-01,13.860081
1953-01-01,13.580273
1954-01-01,11.736595
1955-01-01,10.156245
1956-01-01,9.901011
1957-01-01,9.992439
1958-01-01,10.071764
1959-01-01,9.438773
1960-01-01,8.993124
1961-01-01,9.156032
1962-01-01,9.331673
1963-01-01,8.831891
1964-01-01,8.051281
1965-01-01,7.5872474
1966-01-01,8.4353
1967-01-01,9.417796
1968-01-01,9.268455
1969-01-01,8.633265
1970-01-01,8.032743
1971-01-01,6.9430695
1972-01-01,6.5197573
1973-01-01,5.8938704
1974-01-01,5.9541116
1975-01-01,5.6226788
1976-01-01,5.1910715
1977-01-01,5.155617
1978-01-01,4.943087
1979-01-01,4.9519916
1980-01-01,5.1535378
1981-01-01,5.646541
1982-01-01,6.8140574
1983-01-01,6.321144
1984-01-01,6.2364163
1985-01-01,6.453219
1986-01-01,6.6265225
1987-01-01,6.4202743
1988-01-01,6.0712776
1989-01-01,5.8712063
1990-01-01,5.6051755
1991-01-01,4.8834295
1992-01-01,4.9704666
1993-01-01,4.6043506
1994-01-01,4.215265
1995-01-01,3.8602457
1996-01-01,3.5549824
1997-01-01,3.4055624
1998-01-01,3.2015584
1999-01-01,3.0856767
2000-01-01,3.1122422
2001-01-01,3.1238098
2002-01-01,3.447618
2003-01-01,3.827161
2004-01-01,4.0163126
2005-01-01,4.089232
2006-01-01,4.0413423
2007-01-01,4.0733504
2008-01-01,4.4465957
2009-01-01,4.875768
2010-01-01,4.904023
2011-01-01,4.822442
2012-01-01,4.46171
2013-01-01,4.0237055
2014-01-01,3.6789184
2015-01-01,3.4644928
2016-01-01,3.4026022
2017-01-01,3.2977235
2018-01-01,3.3040006
2019-01-01,3.409214
2020-01-01,3.6451876
2021-01-01,3.40452
2022-01-01,3.309477
2023-01-01,3.3044417
2024-01-01,3.4192164
