date,value
1980-01-01,-0.2
1981-01-01,2.5
1982-01-01,-1.8
1983-01-01,4.6
1984-01-01,7.2
1985-01-01,4.2
1986-01-01,3.5
1987-01-01,3.5
1988-01-01,4.2
1989-01-01,3.7
1990-01-01,1.9
1991-01-01,-0.1
1992-01-01,3.6
1993-01-01,2.8
1994-01-01,4.0
1995-01-01,2.7
1996-01-01,3.8
1997-01-01,4.5
1998-01-01,4.4
1999-01-01,4.8
2000-01-01,4.1
2001-01-01,1.0
2002-01-01,1.7
2003-01-01,2.9
2004-01-01,3.8
2005-01-01,3.5
2006-01-01,2.8
2007-01-01,1.9
2008-01-01,-0.1
2009-01-01,-2.6
2010-01-01,2.7
2011-01-01,1.6
2012-01-01,2.2
2013-01-01,1.8
2014-01-01,2.5
2015-01-01,2.9
