indicator,horizon,truth
union_membership_rate,1,13.1
union_membership_rate,2,13.3
union_membership_rate,3,13.7
union_membership_rate,4,13.6
union_membership_rate,5,13.1
union_membership_rate,6,13.0
union_membership_rate,7,12.5
union_membership_rate,8,12.4
union_membership_rate,9,12.3
union_membership_rate,10,12.3
union_membership_rate,11,11.9
union_membership_rate,12,11.9
union_membership_rate,13,11.7
union_membership_rate,14,11.6
union_membership_rate,15,12.1
trust_media_pct,1,47.0
trust_media_pct,2,47.0
trust_media_pct,3,43.0
trust_media_pct,4,45.0
trust_media_pct,5,43.0
trust_media_pct,6,44.0
trust_media_pct,7,40.0
trust_media_pct,8,44.0
trust_media_pct,9,40.0
trust_media_pct,10,40.0
trust_media_pct,11,32.0
trust_media_pct,12,41.0
trust_media_pct,13,45.0
trust_media_pct,14,41.0
trust_media_pct,15,40.0
vep_turnout_pct,1,40.4
vep_turnout_pct,2,
vep_turnout_pct,3,61.6
vep_turnout_pct,4,
vep_turnout_pct,5,41.0
vep_turnout_pct,6,
vep_turnout_pct,7,58.6
vep_turnout_pct,8,
vep_turnout_pct,9,36.7
vep_turnout_pct,10,
vep_turnout_pct,11,60.1
vep_turnout_pct,12,
vep_turnout_pct,13,50.0
vep_turnout_pct,14,
vep_turnout_pct,15,
