h,n,ens_mean,ew_mean,improvement_vs_EW
1,4,1.3272186591716049,1.3272186591716049,0.0
2,4,1.27938812263231,1.27938812263231,0.0
3,4,1.14927352089225,1.14927352089225,0.0
4,4,0.9724739228949315,0.9724739228949315,0.0
5,4,1.3054379581476072,1.3054379581476072,0.0
6,4,1.2654095875370561,1.2654095875370561,0.0
7,4,1.2545030035358762,1.2545030035358762,0.0
8,4,1.2310367759419891,1.2310367759419891,0.0
9,4,1.0651359186941878,1.0651359186941878,0.0
10,4,1.0271182205337774,1.0271182205337774,0.0
11,4,1.0638646770746758,1.0638646770746758,0.0
12,4,1.1296646518675932,1.1296646518675932,0.0
13,4,1.1792465049686922,1.1792465049686922,0.0
14,4,1.1272379563909838,1.1272379563909838,0.0
15,4,1.026063590192198,1.026063590192198,0.0
