origin,h,ens_crps,ew_crps,w_HSM_chatgpt,w_FSM_chatgpt,w_HSM_grok,w_FSM_grok
1985,1,1.6635116758449529,1.6635116758449529,0.25,0.25,0.25,0.25
1985,2,1.157723003554114,1.157723003554114,0.25,0.25,0.25,0.25
1985,3,1.1265723813229611,1.1265723813229611,0.25,0.25,0.25,0.25
1985,4,0.8750813971301501,0.8750813971301501,0.25,0.25,0.25,0.25
1985,5,1.0021308715068484,1.0021308715068484,0.25,0.25,0.25,0.25
1985,6,1.865514452341858,1.865514452341858,0.25,0.25,0.25,0.25
1985,7,2.028134248704345,2.028134248704345,0.25,0.25,0.25,0.25
1985,8,0.8049872145864354,0.8049872145864354,0.25,0.25,0.25,0.25
1985,9,1.5063349532371877,1.5063349532371877,0.25,0.25,0.25,0.25
1985,10,1.0431952045140078,1.0431952045140078,0.25,0.25,0.25,0.25
1985,11,1.0249817348214976,1.0249817348214976,0.25,0.25,0.25,0.25
1985,12,1.375482512064138,1.375482512064138,0.25,0.25,0.25,0.25
1985,13,0.9403857809727982,0.9403857809727982,0.25,0.25,0.25,0.25
1985,14,0.8690569446250999,0.8690569446250999,0.25,0.25,0.25,0.25
1985,15,1.1493046105057478,1.1493046105057478,0.25,0.25,0.25,0.25
1990,1,0.981879314976555,0.981879314976555,0.25,0.25,0.25,0.25
1990,2,1.5716537101426584,1.5716537101426584,0.25,0.25,0.25,0.25
1990,3,1.3239169536825406,1.3239169536825406,0.25,0.25,0.25,0.25
1990,4,0.9866439802391592,0.9866439802391592,0.25,0.25,0.25,0.25
1990,5,0.8804322392781577,0.8804322392781577,0.25,0.25,0.25,0.25
1990,6,0.9970249363315402,0.9970249363315402,0.25,0.25,0.25,0.25
1990,7,0.9771373344604752,0.9771373344604752,0.25,0.25,0.25,0.25
1990,8,0.8152220896786911,0.8152220896786911,0.25,0.25,0.25,0.25
1990,9,0.8282839930334788,0.8282839930334788,0.25,0.25,0.25,0.25
1990,10,1.2665327301238882,1.2665327301238882,0.25,0.25,0.25,0.25
1990,11,1.4098895625307692,1.4098895625307692,0.25,0.25,0.25,0.25
1990,12,0.8125556447854846,0.8125556447854846,0.25,0.25,0.25,0.25
1990,13,1.1470131504625234,1.1470131504625234,0.25,0.25,0.25,0.25
1990,14,1.1755143292023114,1.1755143292023114,0.25,0.25,0.25,0.25
1990,15,0.8367939450695369,0.8367939450695369,0.25,0.25,0.25,0.25
2015,1,1.788897498885281,1.788897498885281,0.25,0.25,0.25,0.25
2015,2,1.4752455437472674,1.4752455437472674,0.25,0.25,0.25,0.25
2015,3,0.8328144765390951,0.8328144765390951,0.25,0.25,0.25,0.25
2015,4,0.8660527053537584,0.8660527053537584,0.25,0.25,0.25,0.25
2015,5,1.3166379693093144,1.3166379693093144,0.25,0.25,0.25,0.25
2015,6,0.952542853887954,0.952542853887954,0.25,0.25,0.25,0.25
2015,7,0.9550986946647336,0.9550986946647336,0.25,0.25,0.25,0.25
2015,8,1.4265020318037371,1.4265020318037371,0.25,0.25,0.25,0.25
2015,9,1.086863862222309,1.086863862222309,0.25,0.25,0.25,0.25
2015,10,0.9467760490738824,0.9467760490738824,0.25,0.25,0.25,0.25
2015,11,0.8861849018167598,0.8861849018167598,0.25,0.25,0.25,0.25
2015,12,0.8748494644328106,0.8748494644328106,0.25,0.25,0.25,0.25
2015,13,1.729006249883564,1.729006249883564,0.25,0.25,0.25,0.25
2015,14,1.3447768711980497,1.3447768711980497,0.25,0.25,0.25,0.25
2015,15,1.2615922984172143,1.2615922984172143,0.25,0.25,0.25,0.25
2020,1,0.8745861469796304,0.8745861469796304,0.25,0.25,0.25,0.25
2020,2,0.9129302330852004,0.9129302330852004,0.25,0.25,0.25,0.25
2020,3,1.3137902720244032,1.3137902720244032,0.25,0.25,0.25,0.25
2020,4,1.162117608856658,1.162117608856658,0.25,0.25,0.25,0.25
2020,5,2.0225507524961084,2.0225507524961084,0.25,0.25,0.25,0.25
2020,6,1.246556107586872,1.246556107586872,0.25,0.25,0.25,0.25
2020,7,1.0576417363139503,1.0576417363139503,0.25,0.25,0.25,0.25
2020,8,1.8774357676990927,1.8774357676990927,0.25,0.25,0.25,0.25
2020,9,0.8390608662837757,0.8390608662837757,0.25,0.25,0.25,0.25
2020,10,0.8519688984233316,0.8519688984233316,0.25,0.25,0.25,0.25
2020,11,0.9344025091296766,0.9344025091296766,0.25,0.25,0.25,0.25
2020,12,1.4557709861879398,1.4557709861879398,0.25,0.25,0.25,0.25
2020,13,0.9005808385558836,0.9005808385558836,0.25,0.25,0.25,0.25
2020,14,1.1196036805384737,1.1196036805384737,0.25,0.25,0.25,0.25
2020,15,0.856563506776293,0.856563506776293,0.25,0.25,0.25,0.25
