indicator,horizon,q05,q50,q95
mass_public_polarization,1,,,
mass_public_polarization,2,,,
mass_public_polarization,3,,,
mass_public_polarization,4,,,
mass_public_polarization,5,,,
mass_public_polarization,6,,,
mass_public_polarization,7,,,
mass_public_polarization,8,,,
mass_public_polarization,9,,,
mass_public_polarization,10,,,
mass_public_polarization,11,,,
mass_public_polarization,12,,,
mass_public_polarization,13,,,
mass_public_polarization,14,,,
mass_public_polarization,15,,,
public_trust_government,1,,,
public_trust_government,2,,,
public_trust_government,3,,,
public_trust_government,4,,,
public_trust_government,5,,,
public_trust_government,6,,,
public_trust_government,7,,,
public_trust_government,8,,,
public_trust_government,9,,,
public_trust_government,10,,,
public_trust_government,11,,,
public_trust_government,12,,,
public_trust_government,13,,,
public_trust_government,14,,,
public_trust_government,15,,,
vep_turnout_pct,1,,,
vep_turnout_pct,2,,,
vep_turnout_pct,3,,,
vep_turnout_pct,4,,,
vep_turnout_pct,5,,,
vep_turnout_pct,6,,,
vep_turnout_pct,7,,,
vep_turnout_pct,8,,,
vep_turnout_pct,9,,,
vep_turnout_pct,10,,,
vep_turnout_pct,11,,,
vep_turnout_pct,12,,,
vep_turnout_pct,13,,,
vep_turnout_pct,14,,,
vep_turnout_pct,15,,,
